country,aircraft,fighter/interceptor,attack_aircraft,transport_aircraft_fleet,trainer_aircraft_fleet,helicopter_fleet,attack_helicopter_fleet,tank,afv/apc,self-propelled_artillery,towed_artillery,rocket_projector,navy_fleets,aircraft_carrier_fleet,submarine_fleet,destroyer_fleet,frigate_fleet,airport_totals,available_manpower,total_population,iso,continent
Romania,143,26,0,12,41,62,0,943,1369,0,808,243,48,0,0,0,3,45,11007501,21457116,ROU,Europe
Russia,4163,873,742,424,497,1522,531,12950,27038,6083,4465,3860,603,1,62,16,10,1218,69640160,142122776,RUS,Asia
Saudi Arabia,879,270,81,49,208,283,34,1062,12825,705,1818,122,55,0,0,0,3,214,17703745,33091113,SAU,Asia
Serbia,109,9,17,1,38,44,0,293,904,87,144,88,19,0,0,0,0,26,3468274,7078110,SRB,Europe
Sierra Leone,5,0,0,0,0,5,2,0,13,0,0,0,10,0,0,0,0,8,1432872,6312212,SLE,Africa
Singapore,235,100,0,9,36,77,17,180,3000,48,77,24,40,0,0,0,6,9,4017314,5995991,SGP,Asia
Slovenia,38,0,0,3,23,16,0,44,269,0,63,0,2,0,0,0,0,16,1002714,2102126,SVN,Europe
Somalia,0,0,0,0,0,0,0,10,100,0,30,10,3,0,0,0,0,61,2702167,11259029,SOM,Africa
South Africa,226,17,0,23,88,91,12,195,2000,43,72,50,30,0,3,0,4,566,26250220,55380210,ZAF,Africa
South Sudan,19,0,0,2,0,17,6,110,200,24,0,14,0,2,22,12,18,85,5245155,10204581,SSD,Africa
Spain,512,137,12,46,162,162,19,327,2023,95,140,0,77,1,3,0,11,150,23136275,49331076,ESP,Europe
Sri Lanka,77,0,0,15,6,54,9,202,570,0,209,22,40,0,0,0,0,19,10927071,22576592,LKA,Asia
Sudan,190,46,38,22,11,73,43,690,400,10,0,0,18,0,0,0,0,74,24061430,43120843,SDN,Africa
Suriname,3,0,0,0,0,3,0,0,66,0,0,0,3,0,0,0,0,55,132740,597927,SUR,South America
Sweden,204,71,0,6,69,53,0,126,1036,88,0,0,63,0,5,0,0,231,4116808,10040995,SWE,Europe
Syria,456,199,20,5,67,165,27,4135,5370,575,2550,750,56,0,0,0,2,90,12450728,19454263,SYR,Asia
Taiwan,744,289,0,19,207,210,91,1180,2000,482,1160,115,117,0,4,4,22,37,12196809,23545963,TWN,Asia
